ligand_id,target_id,replicate,docked_pdbqt,docked_sdf,energies
DHT,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DHT/2am9_DHT_4_replicate2.sdf']","[-10.637, -9.818, -10.639, -10.73, -11.087]"
CBD,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBD/2am9_CBD_4_replicate2.sdf']","[-6.647, -6.961, -7.032, -6.849, -7.082]"
Testosterone,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/Testosterone/2am9_Testosterone_4_replicate2.sdf']","[-10.817, -10.758, -10.49, -9.822, -10.16]"
LTHC,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_4_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_3_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_4_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/LTHC/2am9_LTHC_3_replicate2.sdf']","[-6.282, -6.335, -5.459, -6.195, -5.621]"
5FAKB48,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/5FAKB48/2am9_5FAKB48_4_replicate2.sdf']","[-6.545, -6.676, -6.5, -6.329, -6.661]"
R1881,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/R1881/2am9_R1881_4_replicate2.sdf']","[-9.706, -10.828, -9.861, -9.972, -10.079]"
DTHC,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/DTHC/2am9_DTHC_4_replicate2.sdf']","[-6.282, -6.335, -5.459, -5.621, -6.195]"
CBN,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/CBN/2am9_CBN_4_replicate2.sdf']","[-7.517, -7.454, -7.556, -7.509, -7.511]"
MDMBCHMINACA,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate2.sdf']","[-6.804, -6.975, -6.888, -5.878, -5.014]"
HU210,2am9,2,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_0_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_1_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_2_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_3_replicate2.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_4_replicate2.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_0_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_1_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_2_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_3_replicate2.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 2/HU210/2am9_HU210_4_replicate2.sdf']","[-4.703, -4.793, -4.419, -5.065, -4.958]"
DHT,2am9,3,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_0_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_1_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_2_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_3_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_4_replicate3.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_0_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_1_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_2_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_3_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/DHT/2am9_DHT_4_replicate3.sdf']","[-10.637, -10.639, -9.818, -10.73, -11.087]"
CBD,2am9,3,"['/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_0_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_1_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_2_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_3_replicate3.pdbqt', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_4_replicate3.pdbqt']","['/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_0_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_1_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_2_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_3_replicate3.sdf', '/home/screener/files/prost_canc/vina/results/2am9/replicate 3/CBD/2am9_CBD_4_replicate3.sdf']","[-6.647, -6.961, -7.032, -6.849, -7.082]"
