ligand_id,target_id,replicate,docked_pdbqt,docked_sdf,energies
CBD,2am9,4,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_0_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_1_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_3_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_2_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_4_replicate4.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_0_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_1_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_3_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_2_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/CBD/2am9_CBD_4_replicate4.sdf']","[-6.657, -7.056, -7.225, -7.463, -7.541]"
MDMBCHMINACA,2am9,4,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate4.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate4.sdf']","[-7.017, -7.039, -7.166, -7.101, -7.192]"
HU210,2am9,4,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_0_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_1_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_2_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_3_replicate4.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_4_replicate4.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_0_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_1_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_2_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_3_replicate4.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 4/HU210/2am9_HU210_4_replicate4.sdf']","[-7.355, -5.421, -7.272, -6.307, -5.791]"
CBN,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBN/2am9_CBN_4_replicate5.sdf']","[-7.979, -8.019, -8.012, -8.004, -8.024]"
DTHC,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DTHC/2am9_DTHC_4_replicate5.sdf']","[-6.598, -5.814, -7.057, -6.158, -6.4]"
R1881,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/R1881/2am9_R1881_4_replicate5.sdf']","[-9.727, -10.836, -9.846, -9.981, -10.054]"
Testosterone,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/Testosterone/2am9_Testosterone_4_replicate5.sdf']","[-10.833, -10.788, -10.492, -9.838, -10.164]"
RBICALUTAMIDE,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/RBICALUTAMIDE/2am9_RBICALUTAMIDE_4_replicate5.sdf']","[-7.722, -7.433, -7.462, -7.751, -8.292]"
LTHC,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_4_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_3_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_4_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/LTHC/2am9_LTHC_3_replicate5.sdf']","[-6.598, -7.057, -5.814, -6.4, -6.158]"
DHT,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/DHT/2am9_DHT_4_replicate5.sdf']","[-10.626, -10.628, -9.808, -10.722, -11.064]"
5FAKB48,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/5FAKB48/2am9_5FAKB48_4_replicate5.sdf']","[-7.317, -7.308, -7.391, -7.508, -7.33]"
CBD,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/CBD/2am9_CBD_4_replicate5.sdf']","[-6.657, -7.056, -7.463, -7.225, -7.541]"
MDMBCHMINACA,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate5.sdf']","[-7.017, -7.039, -7.166, -7.101, -7.192]"
HU210,2am9,5,"['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_0_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_1_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_2_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_3_replicate5.pdbqt', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_4_replicate5.pdbqt']","['/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_0_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_1_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_2_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_3_replicate5.sdf', '/home/screener/files/prost_canc/vina_new/results/2am9/replicate 5/HU210/2am9_HU210_4_replicate5.sdf']","[-7.355, -5.421, -7.272, -6.307, -5.791]"
